country;hypo;1950;1955;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Cape Verde;medium;67,3;74,7;89,3;108,4;110,6;113,6;109,4;99,2;101,4;99,8;92,7;78,0;65,1;55,4;50,7;48,1;47,3;45,7;43,9;43,4;45,2;48,8;53,1;57,2;60,4;63,2;65,8;68,9;72,0;74,8;77,0
Central African Republic;high;70,3;71,4;74,0;77,9;80,9;84,6;86,3;86,4;89,5;87,1;85,3;84,9;85,7;90,0;85,8;81,1;79,0;76,7;72,5;67,5;63,5;60,9;59,4;58,7;58,3;57,7;57,0;56,6;57,0;57,9;58,9
Central African Republic;low;70,3;71,4;74,0;77,9;80,9;84,6;86,3;86,4;89,5;87,1;85,3;84,9;85,7;90,0;82,8;73,8;66,7;62,7;58,6;54,2;49,9;46,7;44,9;44,8;45,8;47,1;48,5;49,3;50,8;53,0;55,9
Central African Republic;medium;70,3;71,4;74,0;77,9;80,9;84,6;86,3;86,4;89,5;87,1;85,3;84,9;85,7;90,0;84,3;77,4;72,8;69,7;65,6;60,9;56,8;53,8;52,1;51,7;51,9;52,1;52,2;52,2;53,0;54,4;56,1
Chad;high;72,9;77,2;81,1;85,7;86,5;89,7;94,4;99,4;102,8;105,2;107,1;107,4;104,7;100,2;96,6;93,2;89,7;84,5;79,1;74,1;70,2;67,1;64,5;62,4;60,6;59,2;57,9;57,2;56,8;56,6;56,5
Chad;low;72,9;77,2;81,1;85,7;86,5;89,7;94,4;99,4;102,8;105,2;107,1;107,4;104,7;100,2;93,6;85,9;77,7;71,2;65,9;61,3;57,1;53,6;50,9;49,0;47,8;47,2;47,2;47,1;47,3;47,6;48,3
Chad;medium;72,9;77,2;81,1;85,7;86,5;89,7;94,4;99,4;102,8;105,2;107,1;107,4;104,7;100,2;95,1;89,6;83,7;77,9;72,5;67,8;63,7;60,4;57,7;55,7;54,2;53,1;52,3;51,9;51,7;51,7;51,9
Comoros;high;71,3;74,2;80,2;88,1;90,9;91,4;92,3;94,9;96,4;94,4;88,7;82,7;78,6;75,5;74,2;72,9;71,2;68,3;65,5;63,3;62,2;61,5;60,4;59,1;57,8;56,8;56,2;56,0;55,9;55,9;55,9
Comoros;low;71,3;74,2;80,2;88,1;90,9;91,4;92,3;94,9;96,4;94,4;88,7;82,7;78,6;75,5;71,3;65,7;59,1;55,0;52,4;50,8;49,5;48,2;47,0;46,1;46,0;46,7;47,9;48,6;48,9;49,2;50,1
Comoros;medium;71,3;74,2;80,2;88,1;90,9;91,4;92,3;94,9;96,4;94,4;88,7;82,7;78,6;75,5;72,8;69,3;65,2;61,7;59,0;57,2;55,9;54,8;53,6;52,5;51,7;51,4;51,5;51,6;51,6;51,7;52,0
Congo;high;76,4;78,1;81,1;85,7;89,7;92,5;94,9;93,6;90,1;85,2;82,2;81,8;81,8;84,5;83,7;81,0;79,5;78,7;77,8;76,1;73,8;71,2;68,8;67,1;65,8;65,0;64,2;63,6;63,1;62,9;62,9
Congo;low;76,4;78,1;81,1;85,7;89,7;92,5;94,9;93,6;90,1;85,2;82,2;81,8;81,8;84,5;80,7;73,7;67,1;64,8;63,8;62,4;59,7;56,6;54,1;52,9;52,7;53,5;54,5;54,8;55,1;55,7;57,0
